stimulus_id,stimulus_label,title,dataset_id,composition_id,event_id,chord_id,midi,pc_set,surprisal_rating_mean,surprisal_rating_sd,surprisal_rating_n,surprisal_rating_se,probability,information_content,milne_2011,onset,offset,leman_2000_v1,leman_2000_v2,leman_2000_v3,leman_2000_v4,leman_2000_v5,leman_2000_v6,collins_2014,melody_midi,melody_information_content,melody_entropy,melody_dist,vl_dist,incon
522,id=522_genre=popular_c-id=403_e-id=164_ic_category_1,Eric Carmen: Sunrise,2,403,161,3,58 62 65,2 5 10,NA,NA,0,NA,0.146550470645546,2.77053049365005,0.4154672127468768,2,3,0.943926649167001,0.8513286330784255,0.8003629205682425,1.8369002620948738,1.6060776312317049,1.4916571884384533,-75092.6310941932,65,5.1664195,3.1496723,5,17,1.9943104278410801
522,id=522_genre=popular_c-id=403_e-id=164_ic_category_1,Eric Carmen: Sunrise,2,403,162,4,53 60 69,0 5 9,NA,NA,0,NA,0.191294984114093,2.38612904916254,0.4154672127468768,3,4,0.9078915548744372,0.8065738420807965,0.7504641936724276,1.6964686227949275,1.4415153210574096,1.3139899950468128,-77695.38196263555,69,5.0139493999999996,3.4658692,4,11,2.0694038302573015
522,id=522_genre=popular_c-id=403_e-id=164_ic_category_1,Eric Carmen: Sunrise,2,403,163,5,48 64 67,0 4 7,NA,NA,0,NA,0.10742824278982,3.21855476845104,0.4154672127468768,4,5,0.9483830804025007,0.9177403477339718,0.9122979472108879,1.7910566186071764,1.598590994842541,1.5107052943448296,-131383.28837472099,67,1.9952947,2.165621,2,11,2.0469639310114416
522,id=522_genre=popular_c-id=403_e-id=164_ic_category_1,Eric Carmen: Sunrise,2,403,164,6,51 67 70,3 7 10,-0.52930045913622,0.778195618254345,25,0.155639123650869,0.190364075246443,2.39316685024321,0.6001849316853374,5,6,1.0083252367729931,0.9500326547034834,0.9294981665703058,1.7564725374398396,1.5916374533983113,1.5329835694383815,-149836.0705227974,70,4.905066,3.1534646,3,9,2.0738163148169737
522,id=522_genre=popular_c-id=403_e-id=164_ic_category_1,Eric Carmen: Sunrise,2,403,165,7,58 62 65,2 5 10,NA,NA,0,NA,0.50568634133383,0.98368528331176,0.4154672127468768,6,7,1.0161926107280042,0.9447627360950759,0.9066621367339656,1.8209449995828142,1.6079835210908926,1.5116961611100013,-130758.71739248131,65,5.671871,2.5148635,5,17,1.9943104278410801
522,id=522_genre=popular_c-id=403_e-id=164_ic_category_1,Eric Carmen: Sunrise,2,403,166,8,53 60 69,0 5 9,NA,NA,0,NA,0.394056212016214,1.34352665045308,0.4154672127468768,7,8,0.9615932389236516,0.8768963091583865,0.8282631203060868,1.7515603102826898,1.5063619355290705,1.3830717364628446,-123387.5114654569,69,3.9725585,3.6057289,4,11,2.0694038302573015
523,id=523_genre=popular_c-id=232_e-id=14_ic_category_1,George Harrison: This Song,2,232,9,1,50 66 69,2 6 9,NA,NA,0,NA,0.028945024596224,5.11054080726786,NA,0,1,2.342826158414368,2.306271764522014,2.2863114382439105,3.9924105908156924,3.8086165460148336,3.7184716742812665,-14522.361547246042,69,5.4594316,5.45943,NA,NA,2.0656877301348207
523,id=523_genre=popular_c-id=232_e-id=14_ic_category_1,George Harrison: This Song,2,232,10,2,54 61 64 69,1 4 6 9,NA,NA,0,NA,0.00342434930361927,8.18995441210057,0.28933690089907305,1,2,1.3683622090642995,1.3052631977121567,1.2710123329810912,2.512414621025044,2.312577412863805,2.2148816881228153,-75597.4050339808,69,1.9217302,3.3169882,0,11,1.493460182934374
523,id=523_genre=popular_c-id=232_e-id=14_ic_category_1,George Harrison: This Song,2,232,11,3,49 64 68 71,1 4 8 11,NA,NA,0,NA,0.0314959443766872,4.98869012002989,0.27202025393782014,2,3,0.9159220039696132,0.8215974534272094,0.7702527520784294,1.8244409266804473,1.6006567632404567,1.4908830920277918,-95305.51172778381,71,3.1449487,3.206682,2,11,1.615986148287802
523,id=523_genre=popular_c-id=232_e-id=14_ic_category_1,George Harrison: This Song,2,232,12,4,54 61 64 70,1 4 6 10,NA,NA,0,NA,0.0187554053045645,5.73654974977896,0.29611429938539957,3,4,1.2620782076743309,1.1764484479412383,1.1247407421480886,1.96348548960628,1.6937526389971305,1.55697397533774,-155330.17761149805,70,5.703173,3.0261455,1,11,1.3294042335054237
523,id=523_genre=popular_c-id=232_e-id=14_ic_category_1,George Harrison: This Song,2,232,13,5,59 61 64 66 69,1 4 6 9 11,NA,NA,0,NA,5.40377194835813e-4,10.8537455886599,0.20958575172699734,4,5,1.290185605056959,1.2540658215330847,1.2403913121242438,2.269582923750385,2.0936959380037607,2.005496281431975,-208716.8527872488,69,8.38386,2.3110101,1,8,1.0087283515552183
523,id=523_genre=popular_c-id=232_e-id=14_ic_category_1,George Harrison: This Song,2,232,14,6,52 68 71,4 8 11,0.44023096900394,1.13683563238167,24,0.23205560172911,0.0413991777650797,4.59425407533568,0.2784780730983698,5,6,0.9708090701698847,0.8736681144752821,0.8191949433078184,1.8092759483652234,1.573926917744683,1.458143074232114,-238904.48225435056,71,8.753115,1.9860622000000001,2,22,2.081440370634632
523,id=523_genre=popular_c-id=232_e-id=14_ic_category_1,George Harrison: This Song,2,232,15,7,50 66 69,2 6 9,NA,NA,0,NA,0.0380079165100689,4.71755624699989,0.742483976377317,6,7,0.9369561971728323,0.8854038043954676,0.8703755356247684,1.7728095837152198,1.5686500653574642,1.4828004113732598,-245439.45106629565,69,3.0220551,3.1401055,2,6,2.0656877301348207
523,id=523_genre=popular_c-id=232_e-id=14_ic_category_1,George Harrison: This Song,2,232,16,8,56 63 66 71,3 6 8 11,NA,NA,0,NA,0.00101396781752255,9.94577242150962,0.6551071088229417,7,8,1.1001798148610127,0.9555322717890726,0.8790394907627591,1.7111382407605304,1.4258964369092413,1.2957089973200793,-206614.7221523437,71,2.8504715,3.1776702,2,11,1.5264999555670808
524,id=524_genre=popular_c-id=201_e-id=32_ic_category_1,Little River Band: The Other Guy,2,201,27,1,58 62 65,2 5 10,NA,NA,0,NA,0.0289356065436502,5.11101030380221,NA,0,1,2.7468316274008817,2.7102765055351075,2.6902652022325286,4.403559976111065,4.218291979972267,4.127281902130483,-16901.47333354843,65,5.4594316,5.45943,NA,NA,1.9943104278410801
524,id=524_genre=popular_c-id=201_e-id=32_ic_category_1,Little River Band: The Other Guy,2,201,28,2,53 60 69,0 5 9,NA,NA,0,NA,0.0932227482555743,3.4231741448635,0.4154672127468768,1,2,1.0572578142746352,0.9882699971181742,0.9508570790751021,2.1789592229189685,1.9777009337287805,1.879430672452252,-66899.22611228512,69,4.831156,3.2941144,4,11,2.0694038302573015
524,id=524_genre=popular_c-id=201_e-id=32_ic_category_1,Little River Band: The Other Guy,2,201,29,3,58 62 65,2 5 10,NA,NA,0,NA,0.257145453222239,1.95934345032287,0.4154672127468768,2,3,1.4237432607191491,1.420615209000859,1.4248046248083877,2.6828450667034867,2.5380200730422735,2.471402789728053,-110148.51500747433,65,3.5084028,2.402475,4,11,1.9943104278410801
524,id=524_genre=popular_c-id=201_e-id=32_ic_category_1,Little River Band: The Other Guy,2,201,30,4,48 64 67,0 4 7,NA,NA,0,NA,0.113009364592243,3.14548576745924,0.742483976377317,3,4,0.7338220638652447,0.6475781501313858,0.6037421954793211,1.6706278128879581,1.4755806917086862,1.3863219145614836,-137402.88534287867,67,2.4792068,2.9695873,2,14,2.0469639310114416
524,id=524_genre=popular_c-id=201_e-id=32_ic_category_1,Little River Band: The Other Guy,2,201,31,5,53 60 69,0 5 9,NA,NA,0,NA,0.323621488278351,1.62762068982847,0.4154672127468768,4,5,1.1127793008758253,1.0277433731604488,0.9805152444643462,1.7633925890476962,1.5205176321650857,1.4027212558034048,-151403.31503750748,69,1.9081035,3.0934296,2,11,2.0694038302573015
